g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00455,AMPD2,102771,469,SPG63,AMPD2-related pontocerebellar hypoplasia,615809,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,23911318,DD,,2025-01-14 14:33:34+00:00
G2P00456,CLPP,601119,2084,,CLPP-related Perrault syndrome,614129,MONDO:0013588,biallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,23541340,DD; Ear,,2025-04-09 08:54:07+00:00
G2P00458,KDM6A,300128,12637,UTX,KDM6A-related Kabuki syndrome,300867,MONDO:0010465,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0002553; HP:0007655; HP:0001156; HP:0000689; HP:0000411; HP:0005338; HP:0002761; HP:0001263; HP:0004325; HP:0008872; HP:0000218; HP:0000378; HP:0001998; HP:0000769; HP:0001680; HP:0001631; HP:0004322; HP:0000437; HP:0000252; HP:0001212; HP:0001007; HP:0000486; HP:0000708; HP:0001423; HP:0002000; HP:0000668; HP:0011398; HP:0000527; HP:0000455; HP:0000637,22197486; 23076834; 24527667; 24664873; 30509212; 33674768,DD,,2015-07-22 16:14:33+00:00
G2P00459,ASPM,605481,19048,ASP; CALMBP1; FLJ10517; FLJ10549; MCPH5,ASPM-related pirmary microcephaly,608716,MONDO:0012106,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002472; HP:0004322; HP:0003577; HP:0000252; HP:0001250; HP:0000007; HP:0001249; HP:0007018; HP:0000750; HP:0001270; HP:0000365; HP:0002539; HP:0009879; HP:0001274; HP:0000340; HP:0002119,12355089,DD,,2025-01-28 09:18:36+00:00
G2P00460,SHOX,312865,10853,GCFX; PHOG; SHOX1; SHOXY; SS,SHOX-related Langer mesomelic dysplasia,249700,,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0003067; HP:0002938; HP:0006381; HP:0000007; HP:0000347; HP:0006436; HP:0003993; HP:0002984; HP:0100864; HP:0002986; HP:0008845; HP:0003027; HP:0003022,12116254; 9590292; 17935511; 11889214,DD; Skeletal,,2023-05-24 09:07:28+00:00
G2P00461,PRRT2,614386,30500,DKFZP547J199; DSPB3; DYT10; EKD1; FICCA; FLJ25513; ICCA; IFITMD1; PKC,PRRT2-related benign familial infantile epilepsy and infantile convulsions with choreoathetosis syndrome,602066,MONDO:0011178,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007359; HP:0000739; HP:0007098; HP:0002197; HP:0002372; HP:0000006; HP:0002268,22243967; 22744660,DD,,2015-07-22 16:14:34+00:00
G2P00462,GDF6,601147,4221,BMP13; KFS; KFS1; SGM1,GDF6-related oculo-skeletal syndrome,118100,,monoallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000122; HP:0000466; HP:0000324; HP:0000465; HP:0000772; HP:0000006; HP:0001425; HP:0000175; HP:0002564; HP:0002650; HP:0000589; HP:0010469; HP:0000410; HP:0000568; HP:0005640; HP:0005988; HP:0000912; HP:0003828; HP:0002162; HP:0004602; HP:0000470; HP:0001335; HP:0002813; HP:0100259; HP:0000407; HP:0007291,19129173; 18425797; 32737436; 25457163; 21070663,DD; Skeletal,,2023-05-24 09:07:28+00:00
G2P00463,TMEM67,609884,28396,JBTS6; MGC26979; MKS3; NPHP11,TMEM67-related COACH syndrome,216360,MONDO:0800103,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001510; HP:0001409; HP:0000618; HP:0011933; HP:0001305; HP:0000007; HP:0000508; HP:0003774; HP:0001257; HP:0002342; HP:0000639; HP:0000311; HP:0001263; HP:0001744; HP:0000316; HP:0002910; HP:0001425; HP:0001395; HP:0001249; HP:0000589; HP:0002240; HP:0001394; HP:0000657; HP:0005957; HP:0001251; HP:0002335; HP:0002404; HP:0003593; HP:0001250; HP:0000567; HP:0000083; HP:0100951; HP:0000463; HP:0000090; HP:0000154; HP:0000272; HP:0001408; HP:0002435; HP:0000546; HP:0001320; HP:0001347; HP:0002419; HP:0001252; HP:0001162; HP:0008659; HP:0000107; HP:0002084; HP:0010442; HP:0002085,16415887; 17377820,DD; Eye,,2015-07-22 16:14:34+00:00
G2P00464,ZIC3,300265,12874,HTX; HTX1; ZNF203,ZIC3-related VACTERL association with or without hydrocephalus,314390,MONDO:0010752,monoallelic_X_hemizygous,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,,DD; Skeletal,,2023-05-24 09:07:28+00:00
G2P00465,ACVR2B,602730,174,ACTR-IIB,ACVR2B-related heterotaxy syndrome,613751,MONDO:0013403,monoallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,,DD,,2025-01-24 16:59:04+00:00
G2P00466,HRAS,190020,5173,HRAS1,HRAS-related congenital myopathy with excess of muscle spindles,218040,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0001622; HP:0000494; HP:0001548; HP:0000465; HP:0000508; HP:0002021; HP:0005989; HP:0002862; HP:0002870; HP:0001187; HP:0006191; HP:0001263; HP:0000006; HP:0000316; HP:0000218; HP:0003745; HP:0001762; HP:0012081; HP:0000768; HP:0001561; HP:0000293; HP:0007099; HP:0001249; HP:0001814; HP:0002093; HP:0011675; HP:0001609; HP:0000256; HP:0002033; HP:0001631; HP:0000307; HP:0001634; HP:0004322; HP:0002779; HP:0001508; HP:0005280; HP:0001639; HP:0000369; HP:0001552; HP:0000280; HP:0000083; HP:0001943; HP:0002059; HP:0002859; HP:0000347; HP:0000486; HP:0000179; HP:0002107; HP:0001869; HP:0000463; HP:0001598; HP:0001808; HP:0001000; HP:0002996; HP:0008070; HP:0003764; HP:0002119; HP:0001771; HP:0000286; HP:0001699; HP:0000470; HP:0001642; HP:0000956; HP:0000260; HP:0000158; HP:0000238; HP:0001629; HP:0002212; HP:0002780; HP:0000358,16443854; 17468812; 18247425; 16835863; 18039947; 17412879; 16170316; 19995790; 17054105; 17056636,DD; Skin,,2017-09-01 16:19:15+00:00
G2P00467,KCNC1,176258,6233,KV3.1,"KCNC1-related epilepsy, progressive myoclonic",616187,MONDO:0014521,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0001337; HP:0000957; HP:0001513; HP:0001260; HP:0011343; HP:0012733; HP:0001250; HP:0001388; HP:0000953; HP:0001288; HP:0001249; HP:0100022; HP:0001000; HP:0007400; HP:0001263; HP:0000951,25401298,DD,,2015-07-22 16:14:34+00:00
G2P00468,CHRNB2,118507,1962,,CHRNB2-related nocturnal frontal lobe epilepsy,605375,MONDO:0011545,monoallelic_autosomal,restricted mutation set,strong,altered gene product structure,,gain of function,inferred,,HP:0000006,11062464,DD,,2025-01-21 12:51:48+00:00
G2P00469,MMADHC,611935,25221,C2ORF25; CBLD; CL25022,"MMADHC-related methylmalonic aciduria and homocystinuria, cblD type",277410,MONDO:0010185,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003145; HP:0005518; HP:0000007; HP:0001889; HP:0000639; HP:0001263; HP:0002156; HP:0001249; HP:0002912; HP:0003524; HP:0003210; HP:0003593; HP:0001250; HP:0002497; HP:0002160; HP:0002120; HP:0001332; HP:0003658; HP:0001254; HP:0003223; HP:0001252; HP:0012120,,DD,,2015-07-22 16:14:34+00:00
G2P00470,GALK1,604313,4118,GALK,GALK1-related galactokinase deficiency with cataracts,230200,MONDO:0009255,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0012023; HP:0006579; HP:0000518; HP:0002904; HP:0000007; HP:0012024,10790206; 11231902; 10521295; 7670469; 24211322; 22632133; 20405025,DD; Eye,,2015-07-22 16:14:34+00:00
G2P00471,NYX,300278,8082,CLRP; CSNB1; CSNB1A; CSNB4,NYX-related congenital stationary night blindness,310500,MONDO:0010690,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0012047; HP:0007984; HP:0007663; HP:0000545; HP:0001419; HP:0000639; HP:0007642; HP:0011003,16670814; 11062472; 11062471,DD; Eye,,2015-07-22 16:14:34+00:00
G2P00472,CRB2,609720,18688,FLJ16786; FLJ38464,CRB2-related ventriculomegaly with cystic kidney disease,219730,MONDO:0009063,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001561; HP:0000007; HP:0000108; HP:0000238; HP:0002119,25557780,DD,,2015-07-22 16:14:34+00:00
G2P00473,PC,608786,8636,PCB,PC-related pyruvate carboxylase deficiency,266150,MONDO:0009949,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003577; HP:0001263; HP:0006970; HP:0001250; HP:0003128; HP:0001252; HP:0001943; HP:0002151; HP:0002049; HP:0001249; HP:0000007; HP:0007190; HP:0002240; HP:0003348; HP:0003542; HP:0002169,19306334; 9585612; 9585002; 12112657,DD,,2015-07-22 16:14:34+00:00
G2P00474,TMEM237,614423,14432,ALS2CR4; JBTS14,TMEM237-related Joubert syndrome,614424,MONDO:0013745,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001510; HP:0001305; HP:0002553; HP:0000494; HP:0000007; HP:0000508; HP:0000639; HP:0000316; HP:0000589; HP:0000822; HP:0010864; HP:0000322; HP:0000568; HP:0001251; HP:0000426; HP:0000737; HP:0000369; HP:0000486; HP:0000194; HP:0000490; HP:0000272; HP:0000286; HP:0100259; HP:0000238; HP:0000107; HP:0002084; HP:0000358,14760273; 22152675; 17603801,DD; Eye,,2025-01-27 10:09:14+00:00
G2P00475,CCDC78,614666,14153,C16ORF25; FLJ34512,CCDC78-related congenital myopathy,614807,MONDO:0013890,monoallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,HP:0000006; HP:0003326,22818856; 25635128,DD,,2024-08-21 11:47:47+00:00
G2P00476,GATA4,600576,4173,,GATA4-related atrial septal defect,607941,MONDO:0011938,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000006; HP:0006695; HP:0001629; HP:0001631,18055909; 17643447; 20347099; 12845333; 20659440; 15810002,DD,,2015-07-22 16:14:34+00:00
G2P00477,RXYLT1,605862,13530,TMEM5,RXYLT1-related severe cobblestone lissencephaly,615041,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000133; HP:0000007; HP:0007260; HP:0007033; HP:0007973,23217329; 23519211,DD,,2010-01-01 00:00:00+00:00
G2P00478,PITX2,601542,9005,ARP1; BRX1; IGDS; IHG2; IRID2; OTLX2; RGS; RIEG; RIEG1; RS,PITX2-related ring dermoid of cornea,180550,MONDO:0008387,monoallelic_autosomal,,strong,uncertain,,undetermined,inferred,,HP:0000006; HP:0000481; HP:0000502,15591271; 22224469,DD; Eye,,2015-07-22 16:14:34+00:00
G2P00479,GABRB3,137192,4083,,GABRB3-related childhood absence epilepsy,612269,MONDO:0012843,monoallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0002121; HP:0100021; HP:0001249; HP:0000006; HP:0200134,18514161; 23934111; 27476654,DD,,2015-07-22 16:14:34+00:00
G2P00481,FOXF1,601089,3809,FKHL5; FREAC1,FOXF1-related alveolar capillary dysplasia with misalignment of pulmonary veins,265380,MONDO:0009934,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011718; HP:0003811; HP:0000007; HP:0000822; HP:0002092; HP:0001694; HP:0001643,,DD,,2018-07-26 16:44:32+00:00
G2P00482,PEX26,608666,22965,FLJ20695,PEX26-related Zellweger syndrome,614872,MONDO:0013938,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000047; HP:0000556; HP:0001838; HP:0001263; HP:0004492; HP:0004734; HP:0003355; HP:0000598; HP:0000268; HP:0001249; HP:0000256; HP:0010864; HP:0002240; HP:0000580; HP:0010655; HP:0000501; HP:0001250; HP:0000582; HP:0006894; HP:0000126; HP:0000457; HP:0000028; HP:0007370; HP:0000505; HP:0010808; HP:0000158; HP:0001623; HP:0001999; HP:0000007; HP:0000639; HP:0010696; HP:0000512; HP:0000939; HP:0002570; HP:0000431; HP:0002416; HP:0000478; HP:0000347; HP:0002282; HP:0001410; HP:0000272; HP:0005469; HP:0001840; HP:0000286; HP:0006579; HP:0000954; HP:0001629; HP:0001892; HP:0006887; HP:0000543; HP:0000316; HP:0000218; HP:0000835; HP:0001271; HP:0008167; HP:0000510; HP:0001319; HP:0000057; HP:0000846; HP:0001508; HP:0003577; HP:0000348; HP:0000369; HP:0003455; HP:0000518; HP:0001401; HP:0002007; HP:0000565; HP:0002089; HP:0001643; HP:0001265; HP:0001284; HP:0001193; HP:0000358; HP:0003146; HP:0002967; HP:0005989; HP:0000311; HP:0001762; HP:0007759; HP:0001425; HP:0000707; HP:0002750; HP:0001591; HP:0003011; HP:0025031; HP:0002126; HP:0000463; HP:0000244; HP:0001252; HP:0001088; HP:0011039; HP:0000407,12851857,DD; Skin,,2025-01-28 08:51:03+00:00
G2P00483,SURF1,185620,11474,SHY1,SURF1-related Leigh syndrome,220110,MONDO:0700250,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002171; HP:0002747; HP:0003688; HP:0003812; HP:0003128; HP:0002151; HP:0000712; HP:0001404; HP:0000007; HP:0000508; HP:0001257; HP:0000639; HP:0007305; HP:0000998; HP:0001263; HP:0003355; HP:0001425; HP:0000124; HP:0003109; HP:0001249; HP:0002093; HP:0000602; HP:0001270; HP:0000580; HP:0002240; HP:0002875; HP:0003076; HP:0001251; HP:0001508; HP:0001639; HP:0003593; HP:0001250; HP:0000093; HP:0003546; HP:0006565; HP:0003676; HP:0001410; HP:0001994; HP:0002490; HP:0001332; HP:0001260; HP:0001347; HP:0001252; HP:0012240; HP:0001427; HP:0002880; HP:0000407; HP:0000648; HP:0001903; HP:0002793,,DD,,2025-01-27 14:00:30+00:00
G2P00484,KIF11,148760,6388,EG5; HKSP; KNSL1; TRIP5,"KIF11-related microcephaly with or without chorioretinopathy, lymphedema, and developmental delay",152950,MONDO:0007918,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001145; HP:0001256; HP:0000494; HP:0000533; HP:0002002; HP:0000411; HP:0000482; HP:0008052; HP:0000639; HP:0000006; HP:0000340; HP:0001004; HP:0002536; HP:0000219; HP:0000484; HP:0000483; HP:0001249; HP:0000545; HP:0000343; HP:0000568; HP:0005280; HP:0007731; HP:0000252; HP:0003829; HP:0000518; HP:0000541; HP:0000582; HP:0000463; HP:0000179; HP:0000540; HP:0003828; HP:0005469; HP:0000286; HP:0007786; HP:0000303; HP:0000505; HP:0001135; HP:0007957; HP:0000455; HP:0000648; HP:0001493,15930898; 22284827,DD; Eye,,2015-07-22 16:14:35+00:00
G2P00485,CTCF,604167,13723,CFAP108; FAP108,CTCF-related intellectual disability,615502,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001671; HP:0000366; HP:0011844; HP:0001263; HP:0000035; HP:0000598; HP:0000175; HP:0001249; HP:0001167; HP:0000174; HP:0000153; HP:0004322; HP:0000252; HP:0001212; HP:0000490; HP:0000159; HP:0000929; HP:0002817; HP:0001155; HP:0000951; HP:0011297; HP:0000271; HP:0001760,23746550,DD,,2025-01-15 21:55:54+00:00
G2P00486,EXT2,608210,3513,SOTV,EXT2-related multiple exostoses,133701,MONDO:0007586,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0004322; HP:0010049; HP:0003406; HP:0002812; HP:0000896; HP:0003621; HP:0000918; HP:0003276; HP:0006765; HP:0003068; HP:0002318; HP:0000006; HP:0002857; HP:0003105,9326317,DD; Cancer; Skeletal,,2023-05-24 09:07:28+00:00
G2P00487,TSEN34,608754,15506,LENG5; SEN34; SEN34L,TSEN34-related pontocerebellar hypoplasia,612390,MONDO:0012891,biallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,,DD,,2015-07-22 16:14:35+00:00
G2P00488,ABCD4,603214,68,EST352188; P70R; PMP69; PXMP1L,"ABCD4-related methylmalonic aciduria and homocystinuria, cblJ type",614857,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0001510; HP:0003145; HP:0002789; HP:0000007; HP:0001263; HP:0002156; HP:0011968; HP:0000316; HP:0001873; HP:0002912; HP:0003524; HP:0001680; HP:0001631; HP:0003577; HP:0001875; HP:0002160; HP:0002059; HP:0000347; HP:0000023; HP:0000028; HP:0006610; HP:0001254; HP:0003223; HP:0002092; HP:0002020; HP:0001903; HP:0002533; HP:0012120,22922874,DD,,2015-07-22 16:14:35+00:00
G2P00489,OPHN1,300127,8148,ARHGAP41; MRX60; OPN1,OPHN1-related intellectual developmental disorder,300486,MONDO:0010337,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0000601; HP:0002280; HP:0000276; HP:0001257; HP:0000639; HP:0001263; HP:0000400; HP:0000219; HP:0000046; HP:0000054; HP:0001249; HP:0001321; HP:0000256; HP:0001419; HP:0000336; HP:0000322; HP:0002066; HP:0000752; HP:0003593; HP:0001250; HP:0000486; HP:0000490; HP:0002007; HP:0000028; HP:0003189; HP:0001252; HP:0000303; HP:0000750; HP:0007065; HP:0006951,9582072; 16158428; 12807966; 12805098; 20528889; 18261018; 24105372; 27390894; 29510240; 29960046; 30534410; 32872024; 33638601,DD,,2025-01-21 14:36:44+00:00
G2P00490,ZDHHC15,300576,20342,DHHC15; FLJ31812; MRX91,ZDHHC15-related intellectual developmental disorder,300577,MONDO:0010363,monoallelic_X_heterozygous,,limited,absent gene product,,loss of function,inferred,,HP:0001513; HP:0002162; HP:0001417; HP:0009237; HP:0000286; HP:0001572; HP:0001773; HP:0003196; HP:0001256; HP:0001999; HP:0006829; HP:0200055; HP:0001263; HP:0000218; HP:0001344,15915161,DD,,2015-07-22 16:14:35+00:00
G2P00491,ACADM,607008,89,ACAD1; MCAD; MCADH,ACADM-related medium chain acyl-CoA dehydrogenase deficiency,201450,MONDO:0008721,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001254; HP:0001942; HP:0001250; HP:0003234; HP:0001252; HP:0001943; HP:0000007; HP:0002013; HP:0008309; HP:0003108; HP:0002240; HP:0001397; HP:0002181; HP:0001263; HP:0001259; HP:0002910,7603790; 1684086; 1972503; 7929823; 6434827; 11409868; 9158144; 11349232,DD,,2025-01-28 22:51:50+00:00
G2P00492,SMAD3,603109,6769,HST17436; JV15-2; MADH3,SMAD3-related Loeys-Dietz syndrome,613795,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,21217753; 29392890,DD,,2025-01-21 15:15:41+00:00
G2P00493,TACR3,162332,11528,NK3R; NKR; TAC3R,TACR3-related hypogonadotropic hypogonadism,614840,MONDO:0013913,biallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0008734; HP:0000006; HP:0000786; HP:0000044,19079066,DD,,2015-07-22 16:14:35+00:00
G2P00494,DNAAF11,614930,16725,LRRC6,DNAAF11-related primary ciliary dyskinesia,614935,MONDO:0013979,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0012263; HP:0004469; HP:0200073; HP:0012259; HP:0100582; HP:0002110; HP:0000007; HP:0000403; HP:0001696; HP:0011108,23122589,DD,,2025-01-28 23:25:47+00:00
G2P00495,CASK,300172,1497,CAGH39; FGS4; LIN2; TNRC8,CASK-related intellectual developmental disorder,300749,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0008897; HP:0001999; HP:0001257; HP:0002342; HP:0000543; HP:0001263; HP:0004325; HP:0000316; HP:0000400; HP:0003196; HP:0000609; HP:0002650; HP:0001321; HP:0000343; HP:0000431; HP:0001344; HP:0004322; HP:0000426; HP:0008936; HP:0000252; HP:0001250; HP:0000486; HP:0000347; HP:0002198; HP:0000286; HP:0001423; HP:0007227; HP:0000407; HP:0000455; HP:0001290,19165920; 21954287; 34085948; 19459880; 20595373; 23623288,DD,,2025-01-28 23:41:13+00:00
G2P00496,ETFDH,231675,3483,ETFQO,ETFDH-related glutaric aciduria,231680,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002171; HP:0001999; HP:0000007; HP:0001325; HP:0002098; HP:0002909; HP:0001302; HP:0002013; HP:0000256; HP:0002018; HP:0002240; HP:0001397; HP:0003076; HP:0000348; HP:0000113; HP:0003647; HP:0005280; HP:0000114; HP:0001943; HP:0003811; HP:0002614; HP:0000078; HP:0000377; HP:0002089; HP:0000952; HP:0003219; HP:0001252; HP:0001324; HP:0000260; HP:0003150; HP:0003490; HP:0003530; HP:0000803,,DD; Eye,,2017-08-27 12:59:20+00:00
G2P00497,TFAP2B,601601,11743,AP-2BETA; AP2-B,TFAP2B-related Char syndrome,169100,MONDO:0008209,monoallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000369; HP:0001256; HP:0002553; HP:0000486; HP:0000574; HP:0009244; HP:0000207; HP:0000508; HP:0000411; HP:0000337; HP:0000455; HP:0000006; HP:0004209; HP:0000322; HP:0000316; HP:0001643,10802654; 11505339; 7645594,DD; Skeletal,,2023-05-24 09:07:28+00:00
G2P00498,DDX3X,300160,2745,CAP-RF; DBX; DDX14; DDX3; HLP2,DDX3X-related intellectual disability,300958,MONDO:0010497,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0000598; HP:0000252; HP:0001249; HP:0000271; HP:0000929; HP:0100022; HP:0002817; HP:0001263; HP:0000153,25533962; 26235985; 30349862; 28371085; 30817323; 30936465; 31274575; 32600431; 32714884; 32896648; 33789733,DD,,2019-11-26 10:48:49+00:00
G2P00499,AR,313700,644,AIS; DHTR; HUMARA; NR3C4; SBMA; SMAX1,AR-related spinal and bulb muscul atrophy,313200,,monoallelic_X_hemizygous,potential secondary finding; restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0003677; HP:0001283; HP:0000029; HP:0002015; HP:0000763; HP:0003394; HP:0001337; HP:0000771; HP:0001419; HP:0000153; HP:0003690; HP:0003236; HP:0008981; HP:0002380; HP:0003581; HP:0001265; HP:0001260; HP:0000144; HP:0009830,,DD; Skin,,2022-08-03 13:37:53+00:00
G2P00500,TRPV3,607066,18084,VRL3,TRPV3-related Olmsted syndrome,614594,MONDO:0100296,monoallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0001036; HP:0007759; HP:0000006; HP:0000975; HP:0001371; HP:0008392; HP:0002164; HP:0008404; HP:0000989; HP:0008070; HP:0002289,22405088,DD,,2015-07-22 16:14:36+00:00
G2P00501,GRHL3,608317,25839,SOM; TFCP2L4,GRHL3-related Van der Woude syndrome,606713,MONDO:0011712,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24360809,DD,,2025-01-28 09:07:27+00:00
G2P00502,IRF6,607199,6121,LPS; OFC6; VWS; VWS1,IRF6-related Van der Woude syndrome,119300,MONDO:0007333,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000196; HP:0000668; HP:0000175; HP:0000204; HP:0000006; HP:0000193,12219090; 19842205; 14757865; 12920575; 18478600; 14618417,DD; Skin,,2025-01-28 09:07:50+00:00
G2P00503,ARFGEF2,605371,15853,BIG2,ARFGEF2-related periventricular heterotopia with microcephaly,608097,MONDO:0011966,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0001250; HP:0001263; HP:0007165; HP:0000007,14647276,DD,,2015-07-22 16:14:36+00:00
G2P00504,HYLS1,610693,26558,FLJ32915,HYLS1-related hydrolethalus syndrome,236680,MONDO:0009365,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0000047; HP:0002139; HP:0001305; HP:0000007; HP:0002777; HP:0000136; HP:0001177; HP:0002536; HP:0001561; HP:0001762; HP:0001331; HP:0000175; HP:0006379; HP:0001511; HP:0000568; HP:0008986; HP:0001674; HP:0000161; HP:0001747; HP:0000369; HP:0008749; HP:0001539; HP:0000347; HP:0000475; HP:0002282; HP:0002101; HP:0000126; HP:0001274; HP:0003826; HP:0000377; HP:0009752; HP:0006882; HP:0008216; HP:0011803; HP:0001162; HP:0000142; HP:0001629; HP:0010066; HP:0009824,15843405,DD,,2015-07-22 16:14:36+00:00
G2P00505,SACS,604490,10519,ARSACS; DKFZP686B15167; DNAJC29; KIAA0730; PPP1R138; SPAX6,"SACS-related spastic ataxia, Charlevoix-Saguenay type",270550,MONDO:0010041,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0003387; HP:0001765; HP:0007221; HP:0000007; HP:0001257; HP:0003448; HP:0000639; HP:0002527; HP:0007001; HP:0000012; HP:0003693; HP:0007240; HP:0001249; HP:0003438; HP:0007654; HP:0003593; HP:0002497; HP:0000762; HP:0002166; HP:0006855; HP:0001761; HP:0002493; HP:0002936; HP:0007772; HP:0001260; HP:0001347; HP:0002168; HP:0002460; HP:0001310; HP:0007922; HP:0006150; HP:0003487,10655055,DD,,2015-07-22 16:14:36+00:00
G2P00506,BANF1,603811,17397,BAF,BANF1-related Nestor-Guillermo progeria syndrome,614008,MONDO:0013523,biallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000007; HP:0000772; HP:0000444; HP:0000905; HP:0000520; HP:0002650; HP:0005585; HP:0000939; HP:0001371; HP:0011703; HP:0001387; HP:0002621; HP:0004322; HP:0001508; HP:0000535; HP:0002973; HP:0000347; HP:0010537; HP:0000272; HP:0000678; HP:0000653; HP:0001476; HP:0002092; HP:0100578; HP:0009839,21549337,DD,,2015-07-22 16:14:36+00:00
G2P00507,AR,313700,644,AIS; DHTR; HUMARA; NR3C4; SBMA; SMAX1,AR-related androgen insensitivity syndrome,300068,MONDO:0019154,monoallelic_X_hemizygous,potential secondary finding,definitive,absent gene product,,loss of function,inferred,,HP:0000771; HP:0002215; HP:0008730; HP:0001507; HP:0000786; HP:0002664; HP:0000023; HP:0002225; HP:0001939; HP:0001419; HP:0002550; HP:0008232,,DD; Skin,,2022-08-03 13:13:16+00:00
G2P00508,NR1I3,603881,7969,CAR; CAR1; MB67,NR1I3-related intellectual disability,,,monoallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,,DD,,2015-07-22 16:14:36+00:00
G2P00509,ZDHHC9,300646,18475,CGI-89; CXORF11; DHHC9; ZDHHC10; ZNF379; ZNF380,ZDHHC9-related syndromic intellectual developmental disorder,300799,MONDO:0010427,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0000708; HP:0009183; HP:0000768; HP:0001417; HP:0001763; HP:0000486; HP:0001249; HP:0000411; HP:0001519; HP:0001166,17436253; 26000327,DD,,2025-01-21 15:57:20+00:00
